Market,Week,WeekDay,Hour,Revenue,Count,AvgFare
STNDUB,49,2,21,4086,97,42 
STNDUB,49,2,22,3242,73,44 
STNDUB,49,2,23,2025,37,55 
STNDUB,49,3,0,1135,28,41 
STNDUB,49,3,1,498,14,36 
STNDUB,49,3,2,160,3,53 
STNDUB,49,3,3,142,2,71 
STNDUB,49,3,4,365,10,36 
STNDUB,49,3,5,242,3,81 
STNDUB,49,3,6,517,7,74 
STNDUB,49,3,7,882,21,42 
STNDUB,49,3,8,1200,17,71 
STNDUB,49,3,9,2137,49,44 
STNDUB,49,3,10,5143,89,58 
STNDUB,49,3,11,2149,45,48 
STNDUB,49,3,12,2251,45,50 
STNDUB,49,3,13,3721,67,56 
STNDUB,49,3,14,3401,62,55 
STNDUB,49,3,15,3424,58,59 
STNDUB,49,3,16,2770,44,63 
STNDUB,49,3,17,2063,45,46 
STNDUB,49,3,18,2960,59,50 
STNDUB,49,3,19,2478,62,40 
STNDUB,49,3,20,3998,89,45 
STNDUB,49,3,21,3774,76,50 
STNDUB,49,3,22,3112,61,51 
STNDUB,49,3,23,2821,55,51 
STNDUB,49,4,0,876,21,42 
STNDUB,49,4,1,424,12,35 
STNDUB,49,4,2,454,11,41 
STNDUB,49,4,3,85,1,85 
STNDUB,49,4,4,269,6,45 
STNDUB,49,4,5,285,6,48 
STNDUB,49,4,6,354,5,71 
STNDUB,49,4,7,894,19,47 
STNDUB,49,4,8,2411,40,60 
STNDUB,49,4,9,3084,57,54 
STNDUB,49,4,10,2520,80,32 
STNDUB,49,4,11,2782,43,65 
STNDUB,49,4,12,2514,47,53 
STNDUB,49,4,13,3978,69,58 
STNDUB,49,4,14,3681,71,52 
STNDUB,49,4,15,3671,58,63 
STNDUB,49,4,16,3279,54,61 
STNDUB,49,4,17,2944,76,39 
STNDUB,49,4,18,2195,50,44 
STNDUB,49,4,19,4103,83,49 
STNDUB,49,4,20,4573,118,39 
STNDUB,49,4,21,3433,82,42 
STNDUB,49,4,22,4282,103,42 
STNDUB,49,4,23,2265,64,35 
STNDUB,49,5,0,712,23,31 
STNDUB,49,5,1,381,7,54 
STNDUB,49,5,2,430,12,36 
STNDUB,49,5,3,26,1,26 
STNDUB,49,5,4,281,8,35 
STNDUB,49,5,5,211,4,53 
STNDUB,49,5,6,359,7,51 
STNDUB,49,5,7,659,24,27 
STNDUB,49,5,8,1307,32,41 
STNDUB,49,5,9,2989,61,49 
STNDUB,49,5,10,2494,52,48 
STNDUB,49,5,11,2121,46,46 
STNDUB,49,5,12,3622,81,45 
STNDUB,49,5,13,3249,70,46 
STNDUB,49,5,14,3271,68,48 
STNDUB,49,5,15,2371,73,32 
STNDUB,49,5,16,2758,61,45 
STNDUB,49,5,17,2016,57,35 
STNDUB,49,5,18,1807,45,40 
STNDUB,49,5,19,3740,93,40 
STNDUB,49,5,20,3294,74,45 
STNDUB,49,5,21,2938,81,36 
STNDUB,49,5,22,2297,57,40 
STNDUB,49,5,23,1885,47,40 
STNDUB,49,6,0,992,18,55 
STNDUB,49,6,1,342,8,43 
STNDUB,49,6,2,168,5,34 
STNDUB,49,6,3,409,8,51 
STNDUB,49,6,4,123,3,41 
STNDUB,49,6,5,17,1,17 
STNDUB,49,6,6,402,13,31 
STNDUB,49,6,7,373,6,62 
STNDUB,49,6,8,1965,37,53 
STNDUB,49,6,9,1656,42,39 
STNDUB,49,6,10,3267,82,40 
STNDUB,49,6,11,2716,68,40 
STNDUB,49,6,12,2528,62,41 
STNDUB,49,6,13,2856,69,41 
STNDUB,49,6,14,2533,63,40 
STNDUB,49,6,15,2748,65,42 
STNDUB,49,6,16,2605,68,38 
STNDUB,49,6,17,2937,78,38 
STNDUB,49,6,18,3003,70,43 
STNDUB,49,6,19,1612,44,37 
STNDUB,49,6,20,2332,70,33 
STNDUB,49,6,21,3502,89,39 
STNDUB,49,6,22,2052,57,36 
STNDUB,49,6,23,2150,58,37 
STNDUB,49,7,0,1220,33,37 
STNDUB,49,7,1,605,12,50 
STNDUB,49,7,2,180,4,45 
STNDUB,49,7,3,499,11,45 
STNDUB,49,7,4,203,5,41 
STNDUB,49,7,5,129,3,43 
STNDUB,49,7,6,79,3,26 
STNDUB,49,7,7,266,5,53 
STNDUB,49,7,8,480,14,34 
STNDUB,49,7,9,1604,43,37 
STNDUB,49,7,10,1761,48,37 
STNDUB,49,7,11,2115,41,52 
STNDUB,49,7,12,3068,72,43 
STNDUB,49,7,13,2820,62,45 
STNDUB,49,7,14,2912,62,47 
STNDUB,49,7,15,2069,46,45 
STNDUB,49,7,16,2260,49,46 
STNDUB,49,7,17,1371,45,30 
STNDUB,49,7,18,1954,51,38 
STNDUB,49,7,19,1736,53,33 
STNDUB,49,7,20,3196,77,42 
STNDUB,49,7,21,1515,38,40 
STNDUB,49,7,22,1729,44,39 
STNDUB,49,7,23,1385,40,35 
STNDUB,50,1,0,1176,20,59 
STNDUB,50,1,1,378,11,34 
STNDUB,50,1,2,476,12,40 
STNDUB,50,1,3,276,5,55 
STNDUB,50,1,4,134,4,33 
STNDUB,50,1,5,119,2,60 
STNDUB,50,1,6,150,6,25 
STNDUB,50,1,7,380,6,63 
STNDUB,50,1,8,470,7,67 
STNDUB,50,1,9,1300,19,68 
STNDUB,50,1,10,1952,60,33 
STNDUB,50,1,11,2578,56,46 
STNDUB,50,1,12,1953,50,39 
STNDUB,50,1,13,2444,43,57 
STNDUB,50,1,14,2541,61,42 
STNDUB,50,1,15,4297,60,72 
STNDUB,50,1,16,3098,73,42 
STNDUB,50,1,17,1255,50,25 
STNDUB,50,1,18,2625,79,33 
STNDUB,50,1,19,2970,65,46 
STNDUB,50,1,20,3779,92,41 
STNDUB,50,1,21,2766,81,34 
STNDUB,50,1,22,2225,52,43 
STNDUB,50,1,23,1378,41,34 
STNDUB,50,2,0,789,20,39 
STNDUB,50,2,1,408,15,27 
STNDUB,50,2,2,108,3,36 
STNDUB,50,2,3,59,3,20 
STNDUB,50,2,4,145,4,36 
STNDUB,50,2,5,290,8,36 
STNDUB,50,2,6,338,5,68 
STNDUB,50,2,7,562,14,40 
STNDUB,50,2,8,857,28,31 
STNDUB,50,2,9,1782,52,34 
STNDUB,50,2,10,1927,48,40 
STNDUB,50,2,11,2573,70,37 
STNDUB,50,2,12,3589,81,44 
STNDUB,50,2,13,2584,69,37 
STNDUB,50,2,14,2816,63,45 
STNDUB,50,2,15,2895,68,43 
STNDUB,50,2,16,3100,63,49 
STNDUB,50,2,17,2338,47,50 
STNDUB,50,2,18,3486,83,42 
STNDUB,50,2,19,3287,74,44 
STNDUB,50,2,20,3638,86,42 
STNDUB,50,2,21,4151,99,42 
STNDUB,50,2,22,3067,75,41 
STNDUB,50,2,23,1230,27,46 
STNDUB,50,3,0,715,19,38 
STNDUB,50,3,1,566,26,22 
STNDUB,50,3,2,316,10,32 
STNDUB,50,3,3,160,4,40 
STNDUB,50,3,4,211,3,70 
STNDUB,50,3,5,416,5,83 
STNDUB,50,3,6,251,9,28 
STNDUB,50,3,7,564,11,51 
STNDUB,50,3,8,683,11,62 
STNDUB,50,3,9,1835,56,33 
STNDUB,50,3,10,3026,63,48 
STNDUB,50,3,11,2728,60,45 
STNDUB,50,3,12,2745,71,39 
STNDUB,50,3,13,2272,60,38 
STNDUB,50,3,14,1992,52,38 
STNDUB,50,3,15,2044,43,48 
STNDUB,50,3,16,2787,80,35 
STNDUB,50,3,17,2278,57,40 
STNDUB,50,3,18,2185,58,38 
STNDUB,50,3,19,1834,57,32 
STNDUB,50,3,20,2846,88,32 
STNDUB,50,3,21,4260,116,37 
STNDUB,50,3,22,2721,71,38 
STNDUB,50,3,23,1448,34,43 
STNDUB,50,4,0,693,17,41 
STNDUB,50,4,1,388,7,55 
STNDUB,50,4,2,121,4,30 
STNDUB,50,4,3,76,1,76 
STNDUB,50,4,4,75,1,75 
STNDUB,50,4,5,78,7,11 
STNDUB,50,4,6,355,5,71 
STNDUB,50,4,7,184,8,23 
STNDUB,50,4,8,1533,25,61 
STNDUB,50,4,9,1668,34,49 
STNDUB,50,4,10,2145,60,36 
STNDUB,50,4,11,3138,52,60 
STNDUB,50,4,12,2273,41,55 
STNDUB,50,4,13,2485,48,52 
STNDUB,50,4,14,2487,58,43 
STNDUB,50,4,15,2325,52,45 
STNDUB,50,4,16,2121,35,61 
STNDUB,50,4,17,1402,32,44 
STNDUB,50,4,18,2878,63,46 
STNDUB,50,4,19,3317,76,44 
STNDUB,50,4,20,3945,73,54 
STNDUB,50,4,21,2683,60,45 
STNDUB,50,4,22,3189,74,43 
STNDUB,50,4,23,1885,41,46 
STNDUB,50,5,0,761,16,48 
STNDUB,50,5,1,704,16,44 
STNDUB,50,5,2,613,12,51 
STNDUB,50,5,3,94,2,47 
STNDUB,50,5,4,79,4,20 
STNDUB,50,5,5,53,1,53 
STNDUB,50,5,6,206,4,51 
STNDUB,50,5,7,243,10,24 
STNDUB,50,5,8,1387,19,73 
STNDUB,50,5,9,1381,33,42 
STNDUB,50,5,10,3608,90,40 
STNDUB,50,5,11,3156,70,45 
STNDUB,50,5,12,2272,52,44 
STNDUB,50,5,13,1782,54,33 
STNDUB,50,5,14,2533,44,58 
STNDUB,50,5,15,2155,42,51 
STNDUB,50,5,16,3154,53,60 
STNDUB,50,5,17,2110,49,43 
STNDUB,50,5,18,1808,47,38 
STNDUB,50,5,19,2180,40,54 
STNDUB,50,5,20,2414,55,44 
STNDUB,50,5,21,2772,76,36 
STNDUB,50,5,22,2244,66,34 
STNDUB,50,5,23,2486,55,45 
STNDUB,50,6,0,859,14,61 
STNDUB,50,6,1,416,9,46 
STNDUB,50,6,2,245,4,61 
STNDUB,50,6,3,194,3,65 
STNDUB,50,6,4,88,3,29 
STNDUB,50,6,5,118,2,59 
STNDUB,50,6,6,456,5,91 
STNDUB,50,6,7,271,9,30 
STNDUB,50,6,8,885,26,34 
STNDUB,50,6,9,2779,59,47 
STNDUB,50,6,10,1723,53,33 
STNDUB,50,6,11,2506,59,42 
STNDUB,50,6,12,3404,38,90 
STNDUB,50,6,13,1872,38,49 
STNDUB,50,6,14,2661,61,44 
STNDUB,50,6,15,2160,45,48 
STNDUB,50,6,16,1943,34,57 
STNDUB,50,6,17,2595,48,54 
STNDUB,50,6,18,2526,57,44 
STNDUB,50,6,19,2122,45,47 
STNDUB,50,6,20,1976,51,39 
STNDUB,50,6,21,1679,48,35 
STNDUB,50,6,22,2025,45,45 
STNDUB,50,6,23,1093,24,46 
STNDUB,50,7,0,689,17,41 
STNDUB,50,7,1,263,6,44 
STNDUB,50,7,2,153,5,31 
STNDUB,50,7,3,37,2,18 
STNDUB,50,7,4,134,1,134 
STNDUB,50,7,6,475,7,68 
STNDUB,50,7,7,126,5,25 
STNDUB,50,7,8,703,20,35 
STNDUB,50,7,9,837,23,36 
STNDUB,50,7,10,1506,28,54 
STNDUB,50,7,11,1552,27,57 
STNDUB,50,7,12,2337,40,58 
STNDUB,50,7,13,2348,29,81 
STNDUB,50,7,14,1508,46,33 
STNDUB,50,7,15,1283,38,34 
STNDUB,50,7,16,2917,53,55 
STNDUB,50,7,17,1804,51,35 
STNDUB,50,7,18,1542,45,34 
STNDUB,50,7,19,1378,31,44 
STNDUB,50,7,20,1977,49,40 
STNDUB,50,7,21,1041,33,32 
STNDUB,50,7,22,999,28,36 
STNDUB,50,7,23,1261,28,45 
