Week,WeekDay,Hour, Revenue ,Count, AvgFare 
50,7,10," 937,949.67 ",18441, 50.86 
50,7,11," 959,604.74 ",18715, 51.27 
50,7,12," 944,545.30 ",18946, 49.85 
50,7,13," 911,059.72 ",17874, 50.97 
50,7,14," 884,438.74 ",17834, 49.59 
50,7,15," 881,970.38 ",17749, 49.69 
50,7,16," 921,165.78 ",18090, 50.92 
50,7,17," 875,027.11 ",17621, 49.66 
50,7,18," 847,401.04 ",17177, 49.33 
50,7,19," 808,180.30 ",16379, 49.34 
50,7,20," 783,555.89 ",16194, 48.39 
50,7,21," 723,546.90 ",14643, 49.41 
50,7,22," 560,019.21 ",11547, 48.50 
50,7,23," 359,157.88 ",7615, 47.16 
51,1,0," 216,700.05 ",4263, 50.83 
51,1,1," 107,551.72 ",2152, 49.98 
51,1,2," 65,220.19 ",1297, 50.29 
51,1,3," 40,095.29 ",832, 48.19 
51,1,4," 33,251.55 ",694, 47.91 
51,1,5," 43,180.76 ",899, 48.03 
51,1,6," 84,136.26 ",1735, 48.49 
51,1,7," 184,342.65 ",4004, 46.04 
51,1,8," 379,596.00 ",7941, 47.80 
51,1,9," 659,694.96 ",13666, 48.27 
51,1,10," 881,379.86 ",17355, 50.79 
51,1,11," 935,599.19 ",18461, 50.68 
51,1,12," 942,932.55 ",18656, 50.54 
51,1,13," 973,030.79 ",18930, 51.40 
51,1,14," 996,803.49 ",19511, 51.09 
51,1,15," 996,014.56 ",19735, 50.47 
51,1,16," 1,057,903.82 ",20682, 51.15 
51,1,17," 1,134,714.45 ",22345, 50.78 
51,1,18," 1,154,079.46 ",22905, 50.39 
51,1,19," 1,188,180.10 ",23474, 50.62 
51,1,20," 1,230,201.75 ",24773, 49.66 
51,1,21," 1,088,903.58 ",21829, 49.88 
51,1,22," 707,049.48 ",14553, 48.58 
51,1,23," 365,203.99 ",7728, 47.26 
51,2,0," 175,686.80 ",3747, 46.89 
51,2,1," 95,763.20 ",2013, 47.57 
51,2,2," 57,325.70 ",1132, 50.64 
51,2,3," 40,105.07 ",769, 52.15 
51,2,4," 37,617.39 ",757, 49.69 
51,2,5," 60,317.64 ",1201, 50.22 
51,2,6," 134,577.85 ",2681, 50.20 
51,2,7," 320,260.09 ",6335, 50.55 
51,2,8," 639,935.51 ",12098, 52.90 
51,2,9," 951,232.00 ",17839, 53.32 
51,2,10," 1,157,008.83 ",21924, 52.77 
51,2,11," 1,204,856.77 ",23098, 52.16 
51,2,12," 1,218,698.46 ",23162, 52.62 
51,2,13," 1,107,186.43 ",22021, 50.28 
51,2,14," 1,155,508.29 ",23369, 49.45 
51,2,15," 1,234,564.24 ",24367, 50.67 
51,2,16," 1,355,667.29 ",25960, 52.22 
51,2,17," 1,308,329.92 ",25296, 51.72 
51,2,18," 1,340,405.10 ",26775, 50.06 
51,2,19," 1,386,743.92 ",27748, 49.98 
51,2,20," 1,432,960.41 ",29283, 48.93 
51,2,21," 1,350,350.42 ",27205, 49.64 
51,2,22," 902,768.66 ",18589, 48.56 
51,2,23," 466,028.00 ",9774, 47.68 
51,3,0," 215,072.81 ",4429, 48.56 
51,3,1," 99,931.23 ",2171, 46.03 
51,3,2," 60,607.68 ",1361, 44.53 
51,3,3," 55,743.80 ",1164, 47.89 
51,3,4," 53,134.96 ",1063, 49.99 
51,3,5," 92,830.93 ",1785, 52.01 
